second,distance,motion,lightIntensity,occupied,occupied_ml
265,2365.0,0,2.5,1,0
266,2365.0,0,2.5,1,0
267,2367.0,0,2.5,1,0
268,2371.0,0,2.5,1,0
269,2373.0,0,2.5,1,0
270,2379.0,0,2.5,1,0
271,2380.0,0,2.5,1,0
272,2376.0,0,2.5,1,0
273,2380.0,0,2.5,1,0
274,2375.0,0,2.5,1,0
275,2380.0,0,2.5,1,0
276,2377.0,0,2.5,1,0
277,2379.0,0,2.5,1,0
278,2371.0,0,2.5,1,0
279,2372.0,1,2.5,1,0
280,2376.0,0,2.5,1,0
281,2380.0,0,2.5,1,0
282,2379.0,0,2.5,1,0
283,2380.0,0,2.5,1,0
284,2378.0,0,2.5,1,0
285,2380.0,0,2.5,1,0
286,2380.0,0,2.5,1,0
287,2371.0,0,2.5,1,0
288,2365.0,0,2.5,1,0
289,2366.0,0,2.5,1,0
290,2367.0,0,2.5,1,0
291,2366.0,0,2.5,1,0
292,2365.0,0,2.5,1,0
293,2364.0,0,2.5,1,0
294,2367.0,0,2.5,1,0
295,2368.0,0,2.5,1,0
296,2367.0,0,2.5,1,0
297,2369.0,0,2.5,1,0
298,2367.0,0,2.5,1,0
299,2369.0,1,2.5,1,0
300,2369.0,0,2.5,1,0
301,2373.0,0,2.5,1,0
302,2379.0,0,2.5,1,0
303,2380.0,0,2.5,1,0
304,2381.0,0,2.5,1,0
305,2381.0,0,2.5,1,0
306,2380.0,0,2.5,1,0
307,2379.0,0,2.5,1,0
308,2377.0,0,2.5,1,0
309,2379.0,0,2.5,1,0
310,2374.0,0,2.5,1,0
311,2374.0,0,2.5,1,0
312,2367.0,0,2.5,1,0
313,2370.0,0,2.5,1,0
314,2370.0,0,2.5,1,0
315,2380.0,0,2.5,1,0
316,2380.0,0,2.5,1,0
317,2377.0,0,2.5,1,0
318,2372.0,0,2.5,1,0
319,2371.0,0,2.5,1,0
320,2372.0,0,2.5,1,0
321,2375.0,0,2.5,1,0
322,2380.0,0,2.5,1,0
323,2381.0,0,2.5,1,0
324,2377.0,0,2.5,1,0
325,2380.0,0,2.5,1,0
326,2380.0,0,2.5,1,0
327,2371.0,0,2.5,1,0
328,2370.0,0,2.5,1,0
329,2376.0,0,2.5,1,0
330,2377.0,0,2.5,1,0
331,2375.0,0,2.5,1,0
332,2380.0,0,2.5,1,0
333,2380.0,0,2.5,1,0
334,2378.0,0,2.5,1,0
335,2377.0,0,2.5,1,0
336,2369.0,0,2.5,1,0
337,2370.0,0,2.5,1,0
338,2371.0,0,2.5,1,0
339,2374.0,0,2.5,1,0
340,2376.0,0,2.5,1,0
341,2378.0,0,2.5,1,0
342,2379.0,0,2.5,1,0
343,2373.0,0,2.5,1,0
344,2378.0,0,2.5,1,0
345,2373.0,0,2.5,1,0
346,2380.0,0,2.5,1,0
347,2367.0,0,2.5,1,0
348,2367.0,0,2.5,1,0
349,2366.0,0,2.5,1,0
350,2367.0,0,2.5,1,0
351,2368.0,0,2.5,1,0
352,2365.0,0,2.5,1,0
353,2367.0,0,2.5,1,0
354,2365.0,0,2.5,1,0
355,2364.0,0,2.5,1,0
356,2364.0,0,2.5,1,0
357,2364.0,0,2.5,1,0
358,2364.0,0,2.5,1,0
359,2364.0,0,2.5,1,0
360,2364.0,0,2.5,1,0
361,2364.0,0,2.5,1,0
362,2366.0,0,2.5,1,0
363,2368.0,0,2.5,1,0
364,2369.0,0,2.5,1,0
365,2373.0,0,2.5,1,0
366,2376.0,0,2.5,1,0
367,2375.0,0,2.5,1,0
368,2373.0,0,2.5,1,0
369,2373.0,0,2.5,1,0
370,2375.0,0,2.5,1,0
371,2374.0,0,2.5,1,0
372,2375.0,0,2.5,1,0
373,2376.0,0,2.5,1,0
374,2377.0,0,2.5,1,0
375,2376.0,0,2.5,1,0
376,2378.0,0,2.5,1,0
377,2373.0,0,2.5,1,0
378,2375.0,0,2.5,1,0
379,2377.0,0,2.5,1,0
380,2375.0,0,2.5,1,0
381,2373.0,0,2.5,1,0
382,2374.0,0,2.5,1,0
383,2373.0,0,2.5,1,0
384,2370.0,0,2.5,1,0
385,2372.0,0,2.5,1,0
386,2378.0,0,2.5,1,0
387,2373.0,0,2.5,1,0
