211 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
212 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
213 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
214 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
215 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
216 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
217 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
218 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
219 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
220 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
221 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
222 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
223 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
224 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
225 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
226 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
227 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
228 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
229 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
230 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
231 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
232 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
233 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
234 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
235 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
236 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
237 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
239 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
240 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
241 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
242 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
243 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
244 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
245 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
246 -> distance: 283.00, motion: 0, lightIntensity: 4.17, occupied: 1
247 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
248 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
249 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
250 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
251 -> distance: 282.00, motion: 0, lightIntensity: 3.33, occupied: 1
252 -> distance: 280.00, motion: 0, lightIntensity: 3.33, occupied: 1
253 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
254 -> distance: 283.00, motion: 0, lightIntensity: 3.33, occupied: 1
255 -> distance: 283.00, motion: 0, lightIntensity: 3.33, occupied: 1
256 -> distance: 128.00, motion: 0, lightIntensity: 3.33, occupied: 1
257 -> distance: 281.00, motion: 0, lightIntensity: 3.33, occupied: 1
258 -> distance: 281.00, motion: 0, lightIntensity: 2.50, occupied: 1
259 -> distance: 280.00, motion: 0, lightIntensity: 2.50, occupied: 1
260 -> distance: 282.00, motion: 0, lightIntensity: 2.50, occupied: 1
261 -> distance: 282.00, motion: 0, lightIntensity: 2.50, occupied: 1
262 -> distance: 282.00, motion: 0, lightIntensity: 2.50, occupied: 1
263 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
264 -> distance: 338.00, motion: 0, lightIntensity: 3.33, occupied: 1
265 -> distance: 283.00, motion: 0, lightIntensity: 3.33, occupied: 1
266 -> distance: 131.00, motion: 0, lightIntensity: 3.33, occupied: 1
268 -> distance: 338.00, motion: 0, lightIntensity: 4.17, occupied: 1
269 -> distance: 133.00, motion: 0, lightIntensity: 4.17, occupied: 1
270 -> distance: 285.00, motion: 0, lightIntensity: 4.17, occupied: 1
271 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
272 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
273 -> distance: 283.00, motion: 0, lightIntensity: 4.17, occupied: 1
274 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
275 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
276 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
