second,distance,motion,lightIntensity,occupied,occupied_note
275,2358.0,0,8.33,1,1
276,346.0,0,8.33,1,1
277,2358.0,0,8.33,1,1
278,346.0,0,8.33,1,1
279,2358.0,0,8.33,1,1
280,2358.0,0,8.33,1,1
281,346.0,0,8.33,1,1
282,346.0,0,8.33,1,1
283,2357.0,0,8.33,1,1
284,346.0,0,8.33,1,1
285,346.0,0,8.33,1,1
286,346.0,0,8.33,1,1
287,346.0,0,8.33,1,1
288,345.0,0,8.33,1,1
289,2359.0,0,8.33,1,1
290,345.0,0,8.33,1,1
291,2359.0,0,8.33,1,1
292,344.0,0,8.33,1,1
293,344.0,0,8.33,1,1
294,344.0,0,8.33,1,1
295,344.0,0,8.33,1,1
296,344.0,0,8.33,1,1
297,344.0,0,8.33,1,1
298,344.0,0,8.33,1,1
299,344.0,0,8.33,1,1
300,344.0,0,8.33,1,1
301,344.0,0,8.33,1,1
302,344.0,0,8.33,1,1
303,344.0,0,8.33,1,1
304,344.0,0,8.33,1,1
305,344.0,0,8.33,1,1
306,344.0,0,8.33,1,1
307,344.0,0,8.33,1,1
308,344.0,0,8.33,1,1
309,344.0,0,8.33,1,1
310,344.0,0,8.33,1,1
311,344.0,0,8.33,1,1
312,344.0,0,8.33,1,1
313,344.0,0,8.33,1,1
314,344.0,0,8.33,1,1
315,344.0,0,8.33,1,1
316,344.0,0,8.33,1,1
317,344.0,0,8.33,1,1
318,344.0,0,8.33,1,1
319,344.0,0,8.33,1,1
320,344.0,0,8.33,1,1
321,344.0,1,8.33,1,1
322,344.0,1,8.33,1,1
323,344.0,0,8.33,1,1
324,344.0,0,8.33,1,1
325,344.0,0,8.33,1,1
326,344.0,0,8.33,1,1
327,344.0,0,8.33,1,1
328,344.0,0,8.33,1,1
329,344.0,0,8.33,1,1
330,344.0,0,8.33,1,1
331,344.0,0,8.33,1,1
332,344.0,0,8.33,1,1
333,344.0,0,8.33,1,1
334,344.0,0,8.33,1,1
335,344.0,0,8.33,1,1
336,344.0,0,8.33,1,1
337,344.0,0,8.33,1,1
338,344.0,0,8.33,1,1
339,344.0,0,8.33,1,1
340,344.0,0,8.33,1,1
341,344.0,0,8.33,1,1
342,344.0,0,8.33,1,1
343,344.0,0,8.33,1,1
344,344.0,0,8.33,1,1
345,344.0,0,8.33,1,1
346,344.0,0,8.33,1,1
347,344.0,0,8.33,1,1
348,344.0,0,8.33,1,1
349,344.0,0,8.33,1,1
350,346.0,0,8.33,1,1
351,2351.0,0,8.33,1,1
352,288.0,0,8.33,1,1
353,344.0,0,8.33,1,1
354,347.0,0,8.33,1,1
355,2348.0,0,8.33,1,1
356,348.0,0,8.33,1,1
357,346.0,0,8.33,1,1
358,345.0,0,8.33,1,1
359,345.0,0,8.33,1,1
360,347.0,0,8.33,1,1
361,344.0,0,8.33,1,1
362,2345.0,0,8.33,1,1
363,2345.0,0,8.33,1,1
364,2344.0,0,8.33,1,1
365,2343.0,0,8.33,1,1
366,345.0,0,8.33,1,1
367,2342.0,0,8.33,1,1
368,348.0,0,8.33,1,1
369,2342.0,0,8.33,1,1
370,346.0,0,8.33,1,1
371,345.0,0,8.33,1,1
372,346.0,0,8.33,1,1
373,346.0,0,8.33,1,1
374,346.0,0,8.33,1,1
375,286.0,0,8.33,1,1
376,347.0,0,8.33,1,1
377,346.0,0,8.33,1,1
378,345.0,0,8.33,1,1
379,345.0,0,8.33,1,1
380,348.0,0,8.33,1,1
381,2343.0,0,8.33,1,1
382,346.0,0,8.33,1,1
383,346.0,0,8.33,1,1
384,344.0,0,8.33,1,1
385,2344.0,0,8.33,1,1
386,2343.0,0,8.33,1,1
387,347.0,0,8.33,1,1
388,347.0,0,8.33,1,1
389,345.0,0,8.33,1,1
390,2343.0,0,8.33,1,1
391,347.0,0,8.33,1,1
392,2342.0,0,8.33,1,1
393,344.0,0,8.33,1,1
394,345.0,0,8.33,1,1
395,2342.0,0,8.33,1,1
396,346.0,0,8.33,1,1
397,346.0,0,8.33,1,1
398,2344.0,0,8.33,1,1
399,2344.0,0,8.33,1,1
