second,distance,motion,lightIntensity,occupied
479,334.00,0,0.83,1
480,333.00,0,0.83,1
481,334.00,0,0.83,1
482,334.00,0,0.83,1
483,333.00,0,0.83,1
484,336.00,0,0.83,1
485,334.00,0,0.83,1
486,2413.00,0,0.83,1
487,333.00,0,0.83,1
489,335.00,0,0.83,1
490,2410.00,0,0.83,1
491,335.00,0,0.83,1
492,336.00,0,0.83,1
493,334.00,0,0.83,1
494,2407.00,0,0.83,1
495,2406.00,0,0.83,1
496,2407.00,0,0.83,1
497,333.00,0,0.83,1
498,2407.00,0,0.83,1
499,2409.00,0,0.83,1
500,2406.00,0,0.83,1
501,333.00,0,0.83,1
502,2407.00,0,0.83,1
503,2407.00,0,0.83,1
504,2406.00,0,0.83,1
505,334.00,0,0.83,1
506,334.00,0,0.83,1
507,2409.00,0,0.83,1
508,334.00,0,0.83,1
509,333.00,0,0.83,1
510,2407.00,0,0.83,1
511,333.00,0,0.83,1
512,335.00,0,0.83,1
513,2408.00,0,0.83,1
514,334.00,0,0.83,1
515,334.00,0,0.83,1
516,334.00,0,0.83,1
517,336.00,0,0.83,1
519,2413.00,0,0.83,1
520,334.00,0,0.83,1
521,334.00,0,0.83,1
522,2415.00,0,0.83,1
523,335.00,0,0.83,1
524,336.00,0,0.83,1
525,334.00,0,0.83,1
526,333.00,0,0.83,1
527,334.00,0,0.83,1
528,335.00,0,0.83,1
529,334.00,0,0.83,1
530,335.00,0,0.83,1
531,333.00,0,0.83,1
532,334.00,0,0.83,1
533,334.00,0,0.83,1
534,337.00,0,0.83,1
535,334.00,0,0.83,1
536,334.00,0,0.83,1
537,334.00,0,0.83,1
538,2417.00,0,0.83,1
539,335.00,0,0.83,1
540,334.00,0,0.83,1
541,2414.00,0,0.83,1
542,2416.00,0,0.83,1
543,335.00,0,0.83,1
545,2415.00,0,0.83,1
546,334.00,0,0.83,1
547,335.00,0,0.83,1
548,2415.00,0,0.83,1
549,2415.00,0,0.83,1
550,2416.00,0,0.83,1
551,2416.00,0,0.83,1
552,334.00,0,0.83,1
553,334.00,0,0.83,1
554,334.00,0,0.83,1
555,335.00,0,0.83,1
556,333.00,0,0.83,1
557,2416.00,0,0.83,1
558,2416.00,0,0.83,1
559,336.00,0,0.83,1
560,336.00,0,0.83,1
561,336.00,0,0.83,1
562,333.00,0,0.83,1
563,336.00,0,0.83,1
564,334.00,0,0.83,1
565,334.00,0,0.83,1
566,336.00,0,0.83,1
567,334.00,0,0.83,1
568,334.00,0,0.83,1
569,335.00,0,0.83,1
571,334.00,0,0.83,1
572,333.00,0,0.83,1
573,334.00,0,0.83,1
574,334.00,0,0.83,1
575,2415.00,0,0.83,1
576,334.00,0,0.83,1
577,2416.00,0,0.83,1
578,334.00,0,0.83,1
579,335.00,0,0.83,1
580,335.00,0,0.83,1
581,2415.00,0,0.83,1
582,2464.00,0,0.83,1
583,2443.00,0,0.83,1
584,2434.00,0,0.83,1
585,2430.00,0,0.83,1
586,2429.00,0,0.83,1
587,2428.00,0,0.83,1
588,335.00,0,0.83,1
589,336.00,0,0.83,1
590,334.00,0,0.83,1
591,2426.00,0,0.83,1
592,2422.00,0,0.83,1
593,334.00,0,0.83,1
594,334.00,0,0.83,1
595,2419.00,0,0.83,1
597,333.00,0,0.83,1
598,333.00,0,0.83,1
599,2403.00,0,0.83,1
600,333.00,0,0.83,1
601,334.00,0,0.83,1
602,2403.00,0,0.83,1
603,336.00,0,0.83,1
604,334.00,0,0.83,1
605,336.00,0,0.83,1
606,334.00,0,0.83,1
607,335.00,0,0.83,1
608,333.00,0,0.83,1
609,334.00,0,0.83,1
610,334.00,0,0.83,1
611,337.00,0,0.83,1
612,333.00,0,0.83,1
613,336.00,0,0.83,1
614,334.00,0,0.83,1
615,333.00,0,0.83,1
616,333.00,0,0.83,1
617,333.00,0,0.83,1
618,2397.00,0,0.83,1
619,337.00,0,0.83,1
620,335.00,0,0.83,1
621,336.00,0,0.83,1
622,333.00,0,0.83,1
624,334.00,0,0.83,1
625,334.00,0,0.83,1
626,2399.00,0,0.83,1
627,333.00,0,0.83,1
628,333.00,0,0.83,1
629,335.00,0,0.83,1
630,2399.00,0,0.83,1
631,334.00,0,0.83,1
632,335.00,0,0.83,1
633,334.00,0,0.83,1
634,334.00,0,0.83,1
635,334.00,0,0.83,1
636,334.00,0,0.83,1
637,2398.00,0,0.83,1
638,333.00,0,0.83,1
639,334.00,0,0.83,1
640,335.00,0,0.83,1
641,333.00,0,0.83,1
642,334.00,0,0.83,1
643,336.00,0,0.83,1
644,333.00,0,0.83,1
645,334.00,0,0.83,1
646,333.00,0,0.83,1
647,333.00,0,0.83,1
648,333.00,0,0.83,1
650,333.00,0,0.83,1
651,333.00,0,0.83,1
652,334.00,0,0.83,1
653,333.00,0,0.83,1
654,2399.00,0,0.83,1
655,2399.00,0,0.83,1
656,336.00,0,0.83,1
657,2399.00,0,0.83,1
658,334.00,0,0.83,1
659,334.00,0,0.83,1
660,333.00,0,0.83,1
661,333.00,0,0.83,1
662,333.00,0,0.83,1
663,2399.00,0,0.83,1
664,333.00,0,0.83,1
665,335.00,0,0.83,1
666,335.00,0,0.83,1
667,334.00,0,0.83,1
668,336.00,0,0.83,1
669,333.00,0,0.83,1
670,334.00,0,0.83,1
671,334.00,0,0.83,1
672,334.00,0,0.83,1
673,334.00,0,0.83,1
674,334.00,0,0.83,1
676,333.00,0,0.83,1
677,333.00,0,0.83,1
678,334.00,0,0.83,1
679,334.00,0,0.83,1
680,334.00,0,0.83,1
681,2398.00,0,0.83,1
682,333.00,0,0.83,1
683,333.00,0,0.83,1
684,335.00,0,0.83,1
685,334.00,0,0.83,1
686,336.00,0,0.83,1
687,333.00,0,0.83,1
688,337.00,0,0.83,1
689,336.00,0,0.83,1
690,334.00,0,0.83,1
691,335.00,0,0.83,1
692,333.00,0,0.83,1
693,335.00,0,0.83,1
694,336.00,0,0.83,1
695,333.00,0,0.83,1
696,336.00,0,0.83,1
697,334.00,0,0.83,1
698,334.00,0,0.83,1
699,2398.00,0,0.83,1
700,337.00,0,0.83,1
702,333.00,0,0.83,1
703,333.00,0,0.83,1
704,334.00,0,0.83,1
705,334.00,0,0.83,1
706,333.00,0,0.83,1
707,335.00,0,0.83,1
708,334.00,0,0.83,1
709,333.00,0,0.83,1
710,333.00,0,0.83,1
711,334.00,0,0.83,1
712,333.00,0,0.83,1
713,333.00,0,0.83,1
714,333.00,0,0.83,1
715,334.00,0,0.83,1
716,335.00,0,0.83,1
717,334.00,0,0.83,1
718,2399.00,0,0.83,1
719,335.00,0,0.83,1
720,2399.00,0,0.83,1
721,2400.00,0,0.83,1
722,336.00,0,0.83,1
723,2398.00,0,0.83,1
724,2400.00,0,0.83,1
725,334.00,0,0.83,1
726,333.00,0,0.83,1
728,333.00,0,0.83,1
729,333.00,0,0.83,1
730,334.00,0,0.83,1
731,335.00,0,0.83,1
732,334.00,0,0.83,1
733,335.00,0,0.83,1
734,336.00,0,0.83,1
735,333.00,0,0.83,1
736,333.00,0,0.83,1
737,336.00,0,0.83,1
738,336.00,0,0.83,1
739,333.00,0,0.83,1
740,335.00,0,0.83,1
741,335.00,0,0.83,1
742,335.00,0,0.83,1
743,334.00,0,0.83,1
744,334.00,0,0.83,1
745,334.00,0,0.83,1
746,335.00,0,0.83,1
747,2402.00,0,0.83,1
748,334.00,0,0.83,1
749,334.00,0,0.83,1
750,333.00,0,0.83,1
751,333.00,0,0.83,1
752,334.00,0,0.83,1
754,335.00,0,0.83,1
755,333.00,0,0.83,1
756,334.00,0,0.83,1
757,334.00,0,0.83,1
758,333.00,0,0.83,1
759,2399.00,0,0.83,1
760,2399.00,0,0.83,1
761,2399.00,0,0.83,1
762,333.00,0,0.83,1
763,334.00,0,0.83,1
764,333.00,0,0.83,1
765,333.00,0,0.83,1
766,336.00,0,0.83,1
767,333.00,0,0.83,1
768,333.00,0,0.83,1
769,335.00,0,0.83,1
770,334.00,0,0.83,1
771,333.00,0,0.83,1
772,335.00,0,0.83,1
773,334.00,0,0.83,1
774,334.00,0,0.83,1
