second,distance,motion,lightIntensity,occupied,occupied_ml
563,2377.00,0,2.50,1,0
565,2380.00,0,2.50,1,0
566,2380.00,0,2.50,1,0
567,2379.00,0,2.50,1,0
568,2379.00,0,2.50,1,0
569,2380.00,0,2.50,1,0
570,2380.00,0,2.50,1,0
571,2376.00,0,2.50,1,0
572,2379.00,0,2.50,1,0
573,2380.00,0,2.50,1,0
574,2380.00,0,2.50,1,0
575,2380.00,0,2.50,1,0
576,2379.00,0,2.50,1,0
577,2381.00,0,2.50,1,0
578,2375.00,0,2.50,1,0
579,2380.00,0,2.50,1,0
580,2380.00,0,2.50,1,0
581,2375.00,0,2.50,1,0
582,2373.00,0,2.50,1,0
583,2377.00,0,2.50,1,0
584,2377.00,0,2.50,1,0
585,2376.00,0,2.50,1,0
586,2375.00,0,2.50,1,0
587,2379.00,0,2.50,1,0
588,2374.00,0,2.50,1,0
589,2379.00,0,2.50,1,0
590,2380.00,0,2.50,1,0
591,2380.00,0,2.50,1,0
592,2381.00,0,2.50,1,0
593,2381.00,0,2.50,1,0
594,2378.00,0,2.50,1,0
595,2378.00,0,2.50,1,0
596,2379.00,0,2.50,1,0
597,2379.00,0,2.50,1,0
599,2378.00,0,2.50,1,0
600,2372.00,0,2.50,1,0
601,2379.00,0,2.50,1,0
602,2381.00,0,2.50,1,0
603,2379.00,0,2.50,1,0
604,2380.00,0,2.50,1,0
605,2380.00,0,2.50,1,0
606,2394.00,0,2.50,1,0
607,2394.00,0,2.50,1,0
608,2394.00,0,2.50,1,0
609,2394.00,0,2.50,1,0
610,2394.00,0,2.50,1,0
611,2394.00,0,2.50,1,0
612,2394.00,0,2.50,1,0
613,2394.00,0,2.50,1,0
614,2394.00,0,2.50,1,0
615,2394.00,0,2.50,1,0
616,2394.00,0,2.50,1,0
617,2394.00,0,2.50,1,0
618,2394.00,0,2.50,1,0
619,2394.00,0,2.50,1,0
620,2394.00,0,2.50,1,0
621,2394.00,0,2.50,1,0
622,2394.00,0,2.50,1,0
623,2394.00,0,2.50,1,0
624,2394.00,0,2.50,1,0
625,2394.00,0,2.50,1,0
626,2394.00,0,2.50,1,0
627,2394.00,0,2.50,1,0
628,2394.00,0,2.50,1,0
629,2394.00,0,2.50,1,0
631,2394.00,1,2.50,1,0
632,2394.00,1,2.50,1,0
633,2394.00,0,2.50,1,0
634,2394.00,0,2.50,1,0
635,2394.00,0,2.50,1,0
636,2394.00,0,2.50,1,0
637,2394.00,0,2.50,1,0
638,2394.00,0,2.50,1,0
639,2394.00,0,2.50,1,0
640,2394.00,0,2.50,1,0
641,2394.00,0,2.50,1,0
642,2394.00,0,2.50,1,0
643,2394.00,0,2.50,1,0
644,2394.00,0,2.50,1,0
645,2394.00,0,2.50,1,0
646,2394.00,0,2.50,1,0
647,2394.00,0,2.50,1,0
648,2394.00,0,2.50,1,0
