second,distance,motion,lightIntensity,occupied,occupied_note
379,83.0,0,7.5,0,1
380,89.0,0,7.5,1,1
381,131.0,0,7.5,0,1
382,98.0,0,7.5,0,1
383,98.0,0,7.5,0,1
384,96.0,0,7.5,0,1
385,85.0,0,7.5,0,1
386,129.0,0,7.5,0,1
387,87.0,0,7.5,1,1
388,161.0,0,7.5,0,1
389,158.0,0,7.5,0,1
390,99.0,0,7.5,0,1
391,89.0,0,7.5,0,1
392,76.0,0,7.5,0,1
393,86.0,0,7.5,0,1
394,91.0,0,7.5,0,1
395,89.0,0,7.5,0,1
396,104.0,0,7.5,0,1
397,86.0,0,7.5,0,1
398,88.0,0,7.5,1,1
399,101.0,0,7.5,1,1
400,76.0,0,7.5,1,1
401,87.0,0,7.5,0,1
402,86.0,0,7.5,1,1
403,87.0,0,7.5,0,1
404,69.0,0,7.5,0,1
405,166.0,0,7.5,0,1
406,91.0,0,7.5,0,1
407,102.0,0,7.5,0,1
408,83.0,0,7.5,0,1
409,104.0,0,7.5,0,1
410,91.0,0,7.5,0,1
411,164.0,0,7.5,0,1
412,85.0,0,7.5,0,1
413,188.0,0,7.5,0,1
414,90.0,0,7.5,0,1
415,101.0,0,7.5,0,1
416,166.0,0,7.5,0,1
417,180.0,0,7.5,0,1
418,79.0,0,7.5,0,1
419,166.0,0,7.5,1,1
420,170.0,0,7.5,0,1
421,81.0,0,7.5,0,1
422,107.0,0,7.5,0,1
423,77.0,0,7.5,0,1
424,102.0,0,7.5,0,1
425,90.0,0,7.5,1,1
426,109.0,0,7.5,0,1
427,116.0,0,7.5,0,1
428,123.0,0,7.5,1,1
429,172.0,0,7.5,1,1
430,115.0,0,7.5,1,1
431,187.0,0,7.5,0,1
432,97.0,0,7.5,0,1
433,104.0,0,7.5,0,1
434,126.0,0,7.5,0,1
435,142.0,0,7.5,0,1
436,80.0,0,7.5,1,1
437,105.0,0,7.5,1,1
438,97.0,0,7.5,1,1
439,96.0,0,7.5,1,1
440,184.0,0,7.5,1,1
441,142.0,0,7.5,1,1
442,122.0,0,7.5,1,1
443,225.0,0,7.5,0,1
444,96.0,0,7.5,0,1
445,96.0,0,7.5,1,1
446,89.0,0,7.5,1,1
447,86.0,0,7.5,1,1
448,87.0,0,7.5,1,1
