second,distance,motion,lightIntensity,occupied
359,85.0,0,7.5,0
360,95.0,0,7.5,0
361,124.0,0,7.5,0
362,92.0,0,7.5,0
363,108.0,0,7.5,0
364,109.0,0,7.5,0
365,90.0,0,7.5,0
366,89.0,0,7.5,0
367,97.0,0,7.5,0
368,181.0,0,7.5,0
369,104.0,0,7.5,0
370,86.0,0,7.5,0
371,168.0,0,7.5,0
372,107.0,0,7.5,0
373,85.0,0,7.5,1
374,147.0,0,7.5,1
375,88.0,0,7.5,1
376,88.0,0,7.5,0
377,97.0,0,7.5,0
378,88.0,0,7.5,0
379,83.0,0,7.5,0
380,89.0,0,7.5,1
381,131.0,0,7.5,0
382,98.0,0,7.5,0
383,98.0,0,7.5,0
384,96.0,0,7.5,0
385,85.0,0,7.5,0
386,129.0,0,7.5,0
387,87.0,0,7.5,1
388,161.0,0,7.5,0
389,158.0,0,7.5,0
390,99.0,0,7.5,0
391,89.0,0,7.5,0
392,76.0,0,7.5,0
393,86.0,0,7.5,0
394,91.0,0,7.5,0
395,89.0,0,7.5,0
396,104.0,0,7.5,0
397,86.0,0,7.5,0
398,88.0,0,7.5,1
399,101.0,0,7.5,1
400,76.0,0,7.5,1
401,87.0,0,7.5,0
402,86.0,0,7.5,1
403,87.0,0,7.5,0
404,69.0,0,7.5,0
405,166.0,0,7.5,0
406,91.0,0,7.5,0
407,102.0,0,7.5,0
408,83.0,0,7.5,0
409,104.0,0,7.5,0
410,91.0,0,7.5,0
411,164.0,0,7.5,0
412,85.0,0,7.5,0
413,188.0,0,7.5,0
414,90.0,0,7.5,0
415,101.0,0,7.5,0
416,166.0,0,7.5,0
417,180.0,0,7.5,0
418,79.0,0,7.5,0
419,166.0,0,7.5,1
420,170.0,0,7.5,0
421,81.0,0,7.5,0
422,107.0,0,7.5,0
423,77.0,0,7.5,0
424,102.0,0,7.5,0
425,90.0,0,7.5,1
426,109.0,0,7.5,0
427,116.0,0,7.5,0
428,123.0,0,7.5,1
429,172.0,0,7.5,1
430,115.0,0,7.5,1
431,187.0,0,7.5,0
432,97.0,0,7.5,0
433,104.0,0,7.5,0
434,126.0,0,7.5,0
435,142.0,0,7.5,0
436,80.0,0,7.5,1
437,105.0,0,7.5,1
438,97.0,0,7.5,1
439,96.0,0,7.5,1
440,184.0,0,7.5,1
441,142.0,0,7.5,1
442,122.0,0,7.5,1
443,225.0,0,7.5,0
444,96.0,0,7.5,0
445,96.0,0,7.5,1
446,89.0,0,7.5,1
447,86.0,0,7.5,1
448,87.0,0,7.5,1
449,103.0,0,7.5,1
450,194.0,0,7.5,1
451,87.0,0,7.5,1
452,177.0,0,7.5,1
453,124.0,0,7.5,1
454,95.0,0,7.5,0
455,137.0,0,7.5,0
456,112.0,0,7.5,0
457,83.0,0,7.5,0
458,146.0,0,7.5,0
459,119.0,0,7.5,0
460,162.0,0,7.5,0
461,106.0,0,7.5,0
462,118.0,0,7.5,0
463,86.0,0,7.5,0
464,92.0,0,7.5,1
465,174.0,0,7.5,1
466,95.0,0,7.5,1
467,77.0,0,7.5,0
468,118.0,0,7.5,0
469,84.0,0,7.5,0
470,87.0,0,7.5,0
471,101.0,0,7.5,0
472,115.0,0,7.5,0
473,172.0,0,7.5,0
474,119.0,0,7.5,0
475,90.0,0,7.5,0
476,81.0,0,7.5,1
477,85.0,0,7.5,1
478,129.0,0,7.5,1
479,243.0,0,7.5,0
480,245.0,0,7.5,0
481,244.0,0,7.5,0
482,188.0,0,7.5,0
483,243.0,0,7.5,0
484,244.0,0,7.5,0
485,190.0,0,7.5,0
486,244.0,0,7.5,0
487,189.0,0,7.5,0
488,245.0,0,7.5,0
489,188.0,0,7.5,0
490,188.0,0,7.5,0
491,245.0,0,7.5,0
492,190.0,0,7.5,0
493,243.0,0,7.5,0
494,244.0,0,7.5,0
495,187.0,0,7.5,0
496,188.0,0,7.5,0
497,243.0,0,7.5,0
498,245.0,0,7.5,0
499,243.0,0,7.5,0
500,244.0,0,7.5,0
501,191.0,0,7.5,0
502,245.0,0,7.5,0
503,189.0,0,7.5,0
504,244.0,0,7.5,0
505,225.0,0,7.5,0
506,244.0,0,7.5,0
507,224.0,0,7.5,0
508,244.0,0,7.5,0
509,189.0,0,7.5,0
510,188.0,0,7.5,0
511,244.0,0,7.5,0
512,244.0,0,7.5,0
513,186.0,0,7.5,0
514,187.0,0,7.5,0
515,243.0,0,7.5,0
516,190.0,0,7.5,0
517,243.0,0,7.5,0
518,188.0,0,7.5,0
519,244.0,0,7.5,0
520,243.0,0,7.5,0
521,189.0,0,7.5,0
522,185.0,0,7.5,0
523,243.0,0,7.5,0
524,244.0,0,7.5,0
525,245.0,0,7.5,0
526,244.0,0,7.5,0
527,244.0,0,7.5,0
528,189.0,0,7.5,0
529,243.0,0,7.5,0
530,245.0,0,7.5,0
531,245.0,0,7.5,0
532,244.0,0,7.5,0
533,244.0,0,7.5,0
534,244.0,0,7.5,0
535,187.0,0,7.5,0
536,246.0,0,7.5,0
537,243.0,0,7.5,0
538,188.0,0,7.5,0
539,191.0,0,7.5,0
540,244.0,0,7.5,0
541,244.0,0,7.5,0
542,191.0,0,7.5,0
543,190.0,0,7.5,0
544,191.0,0,7.5,0
545,243.0,0,7.5,0
546,188.0,0,7.5,0
547,245.0,0,7.5,0
548,246.0,0,7.5,0
549,245.0,0,7.5,0
550,188.0,0,7.5,0
551,244.0,0,7.5,0
552,185.0,0,7.5,0
553,129.0,0,7.5,0
554,131.0,0,7.5,0
555,244.0,0,7.5,0
556,244.0,0,7.5,0
557,221.0,0,7.5,0
558,186.0,0,7.5,0
559,187.0,0,7.5,0
560,187.0,0,7.5,0
561,245.0,0,7.5,0
562,244.0,0,7.5,0
563,245.0,0,7.5,0
564,245.0,0,7.5,0
565,245.0,0,7.5,0
566,244.0,0,7.5,0
567,189.0,0,7.5,0
568,188.0,0,7.5,0
569,188.0,0,7.5,0
570,243.0,0,7.5,0
571,243.0,0,7.5,0
572,188.0,0,7.5,0
573,187.0,0,7.5,0
574,244.0,0,7.5,0
575,190.0,0,7.5,0
576,189.0,0,7.5,0
577,243.0,0,7.5,0
578,189.0,0,7.5,0
579,244.0,0,7.5,0
580,243.0,0,7.5,0
581,189.0,0,7.5,0
582,244.0,0,7.5,0
583,189.0,0,7.5,0
584,247.0,0,7.5,0
585,244.0,0,7.5,0
586,245.0,0,7.5,0
587,188.0,0,7.5,0
588,245.0,0,7.5,0
589,189.0,0,7.5,0
590,245.0,0,7.5,0
591,244.0,0,7.5,0
592,190.0,0,7.5,0
593,189.0,0,7.5,0
594,188.0,0,7.5,0
595,192.0,0,7.5,0
596,243.0,0,7.5,0
597,244.0,0,7.5,0
598,188.0,0,7.5,0
599,245.0,0,7.5,0
600,190.0,0,7.5,0
601,245.0,0,7.5,0
602,245.0,0,7.5,0
603,246.0,0,7.5,0
604,245.0,0,7.5,0
605,244.0,0,7.5,0
606,244.0,0,7.5,0
607,243.0,0,7.5,0
608,244.0,0,7.5,0
609,190.0,0,7.5,0
610,187.0,0,7.5,0
611,244.0,0,7.5,0
612,244.0,0,7.5,0
613,244.0,0,7.5,0
614,244.0,0,7.5,0
615,244.0,0,7.5,0
616,191.0,0,7.5,0
617,187.0,0,7.5,0
618,244.0,0,7.5,0
619,243.0,0,7.5,0
620,190.0,0,7.5,0
621,187.0,0,7.5,0
622,243.0,0,7.5,0
623,244.0,0,7.5,0
624,245.0,0,7.5,0
625,243.0,0,7.5,0
626,189.0,0,7.5,0
627,245.0,0,7.5,0
628,189.0,0,7.5,0
629,243.0,0,7.5,0
630,243.0,0,7.5,0
